,title,release_date,genre_ids,vote_average,vote_count,popularity,id
136,Absolutely Anything,2015-09-04,"[35, 878]",5.893,1350,15.259,86828
137,The Lazarus Effect,2015-02-27,"[27, 53, 9648, 878]",5.266,1345,11.151,243940
138,The Ridiculous 6,2015-12-11,"[37, 35]",5.201,1331,26.672,347969
139,Shaun the Sheep Movie,2015-08-05,"[10751, 16, 35, 12]",6.98,1319,19.851,263109
140,Equals,2015-07-15,"[18, 10749, 878]",6.1,1314,17.754,301875
141,Sisters,2015-12-18,[35],5.947,1313,13.027,266294
142,Paranormal Activity: The Ghost Dimension,2015-10-23,"[27, 53]",5.294,1309,23.441,146301
143,Secret in Their Eyes,2015-11-20,"[53, 9648, 18, 80]",6.383,1286,15.16,290751
144,Dark Places,2015-08-07,"[53, 9648, 18, 80]",5.903,1222,14.286,182560
145,The Lion Guard: Return of the Roar,2015-11-22,"[10751, 10770, 16]",6.702,1215,21.237,359983
146,The Final Girls,2015-10-09,"[35, 27]",6.4,1197,16.266,293970
147,Return to Sender,2015-05-31,"[18, 53]",6.149,1154,25.596,333381
148,Big Game,2015-06-26,"[28, 12, 53]",5.495,1083,16.324,230179
149,Naomi and Ely's No Kiss List,2015-09-18,"[10749, 35]",5.911,1057,13.285,306952
150,Tracers,2015-03-20,[28],6.023,1037,31.756,290764
151,Last Knights,2015-04-03,"[28, 12]",6.451,1013,14.838,308504
152,Barely Lethal,2015-05-29,"[12, 35, 28, 10749]",5.7,1001,16.265,248574
153,Far from the Madding Crowd,2015-05-01,"[18, 10749]",7.0,987,14.529,250734
154,Survivor,2015-05-29,"[28, 80, 9648, 53]",5.662,962,27.169,334074
155,Entourage,2015-06-03,"[35, 18]",6.225,955,28.912,188222
156,Fathers and Daughters,2016-01-13,[18],7.154,933,16.329,254172
157,Slow West,2015-05-15,"[37, 28, 53, 18]",6.7,925,14.061,223485
158,Hidden,2015-09-15,"[53, 27]",6.874,922,29.095,360784
159,Man Up,2015-11-13,"[10749, 35]",6.594,922,10.25,332340
160,The Gunman,2015-03-20,"[28, 18, 80]",5.733,898,11.764,266396
